Modelo;802.1q tags per device;802.1q tags per physical interface;ARP table size per device;Active and unique groups used in policy*;Address groups;Address objects;App override rules;App-ID firewall throughput;Base virtual systems;Bidirectional Forwarding Detection (BFD) Sessions;Captive portal rules;Clear text nodes per physical interface;Connections per second;Custom App-ID signatures;Custom App-IDs (virtual system specific);DHCP relays*;DHCP servers;DSCP marking by policy;Dataplane cache size for URL filtering;Decryption rules;Default DIPP pool oversubscription*;Devices supported;DoS protection rules;End-of-sale;FQDN address objects;HSM Supported;IP-User mappings (data plane);IP-User mappings (management plane);IPSec VPN throughput;IPv4 forwarding table size*;IPv6 forwarding table size*;IPv6 neighbor table size;MAC table size per device;Management plane dynamic cache size;Max ARP entries per broadcast domain;Max DAG IP addresses*;Max IKE Peers;Max MAC entries per broadcast domain;Max NAT rules (DIP)*;Max NAT rules (DIPP);Max NAT rules (static)*;Max SSL inbound certificates;Max SSL tunnels;Max concurrent decryption sessions;Max custom categories (virtual system specific);Max custom categories;Max interfaces (logical and physical);Max number of DNS Domains per system;Max number of IPs per system;Max number of URL per system;Max number of assigned addresses;Max number of custom lists;Max route maps per virtual router;Max routing peers (protocol dependent);Max security zones;Max sessions (IPv4 or IPv6);Max translated IPs (DIP);Max translated IPs (DIPP)*;Max tunnels (SSL, IPSec, and IKE with XAUTH);Max virtual addresses;Max virtual systems*;Maximum SD-WAN virtual interfaces;Maximum aggregate interfaces;Members per address group;Members per service group;Mgmt - ', '0Gbps high availability;Mgmt - 10/100/1000 high availability;Mgmt - 10Gbps high availability;Mgmt - 40Gbps high availability;Mgmt - out-of-band;Monitored servers for User-ID;NAT rules;Number of QoS policies;Number of User-ID agents;Physical interfaces supporting QoS;Policy based forwarding rules;Replication (egress interfaces);Routes;SD-WAN IPSec tunnels;SD-WAN rules;SSL Decryption Broker;SSL Port Mirror;SSL certificate cache (forward proxy);Security profiles;Security rule schedules;Security rules;Service groups;Service objects;Shared custom App-IDs;Shortest check interval (min);Site to site (with proxy id);Static entries - DNS proxy;Subinterfaces supported;System total forwarding table size;Tags per IP address;Tags per User*;Terminal server agents;Threat prevention throughput;Total NAT rule capacity;Total entries for allow list, block list and custom categories;Traffic - ', '0/100Gbps QSFP+/QSFP28;Traffic - 10/100/1000;Traffic - 100/1000/10000;Traffic - 10Gbps SFP+;Traffic - 1Gbps SFP;Traffic - 25Gbps SFP28;Traffic - 4', '/1', 'Gbps QSFP+/QSFP28;Traffic - 40/100Gbps QSFP+/QSFP', '8;Traffic - 40/100Gbps QSFP+/QSFP28;Tunnel content inspection rules;Virtual routers;Virtual wires
PA-1410;4.094;4.094;3.000;1.000;2.000;20.000;750;6800000000.0;1;512;750;31;100.000;6.000;6.416;500;5;Yes;200.000;750;2;2;750;0;2.048;Yes;128.000;512.000;4600000000.0;10.000;5.000;3.000;3.000;600.000;3.000;150.000;2.800;3.000;2.000;1.500;3.000;125;200;51.200;500;2.849;1.024;100.000;50.000;100.000;64.000;30;50;1.000;50;945.000;128.000;1.500;1.500;48;6;1.000;10;2.500;1.500;1;2;;0;10/100/1000. RJ45/Micro USB console;100;3.000;2.000;100;12;750;500;2.000;1.000;400;Yes;Yes;2.000;150;256;1.500;1.500;3.000;512;5;2.800;1.024;500;10.000;64;32;1.000;3200000000.0;3.000;25.000;;12;0;4;6;0;;;0;750;10;1.024
PA-1420;4.094;4.094;6.000;1.000;2.000;20.000;750;9500000000.0;1;512;750;31;150.000;6.000;6.416;500;5;Yes;200.000;750;2;2;750;0;2.048;Yes;128.000;512.000;6900000000.0;10.000;10.000;6.000;6.000;600.000;6.000;150.000;2.800;6.000;2.000;1.500;3.000;125;200;100.000;500;2.849;1.024;100.000;50.000;100.000;64.000;30;50;1.000;50;1.400.000;128.000;1.500;1.500;48;6;1.000;10;2.500;1.500;1;2;;0;10/100/1000. RJ45/Micro USB console;100;3.000;2.000;100;12;750;500;2.000;1.000;400;Yes;Yes;2.000;150;256;1.500;1.500;3.000;512;5;2.800;1.024;500;20.000;64;32;1.000;5000000000.0;3.000;25.000;;12;0;8;2;0;;;0;750;10;1.024
PA-220;4.094;4.094;1.500;1.000;250;2.500;100;535000000.0;1;0;500;31;4.200;6.000;6.416;500;3;Yes;90.000;100;2;2;100;0;2.000;No;128.000;512.000;550000000.0;10.000;2.500;1.500;1.500;100.000;1.500;1.000;1.000;1.500;400;200;400;25;20;6.400;500;2.849;1.024;50.000;50.000;50.000;64.000;30;50;500;15;64.000;16.000;200;250;32;0;300;4;2.500;500;;0;0;undefined;10/100/1000. RJ45/Micro USB console;100;400;100;100;8;100;100;500;1.000;100;No;Yes;128;75;256;500;250;1.000;512;5;1.000;1.024;System Limit;10.000;64;32;400;320000000.0;400;25.000;;8;0;0;0;0;;;0;100;3;256
PA-220R;4.094;4.094;1.500;1.000;250;2.500;100;535000000.0;1;0;500;31;4.200;6.000;6.416;500;3;Yes;90.000;100;2;2;100;0;2.000;No;128.000;512.000;550000000.0;10.000;2.500;1.500;1.500;100.000;1.500;1.000;1.000;1.500;400;200;400;25;20;6.400;500;2.849;1.024;50.000;50.000;50.000;64.000;30;50;500;15;64.000;16.000;200;250;32;0;300;4;2.500;500;;0;0;undefined;10/100/1000. RJ45/Micro USB console;100;400;100;100;8;100;100;500;1.000;100;No;Yes;128;75;256;500;250;1.000;512;5;1.000;1.024;System Limit;10.000;64;32;400;320000000.0;400;25.000;;6;0;0;2;0;;;0;100;3;256
PA-3220;4.094;4.094;16.000;10.000;15.000;30.000;1.500;4200000000.0;1;512;2.000;31;46.000;6.000;6.416;500;10;Yes;250.000;1.500;4;6;2.000;0;2.048;Yes;128.000;512.000;2400000000.0;16.000;12.000;16.000;16.000;600.000;16.000;200.000;2.000;16.000;2.000;2.000;3.000;150;200;100.000;500;2.849;4.096;1.000.000;150.000;100.000;64.000;30;50;1.000;200;1.000.000;128.000;2.000;1.024;64;6;1.000;16;2.500;2.500;1;2;;0;10/100/1000. RJ45/Micro USB console;100;3.000;2.000;100;12;1.000;1.000;4.000;2.000;300;Yes;Yes;4.000;150;256;10.000;2.000;4.000;512;5;4.000;1.024;500;28.000;64;32;2.000;2300000000.0;3.000;25.000;;12;0;0/4;0/8;0;;;0;1.000;10;2.048
PA-3250;4.094;4.094;72.000;10.000;15.000;30.000;1.500;5000000000.0;1;512;2.000;31;58.000;6.000;6.416;500;10;Yes;250.000;1.500;4;6;2.000;0;2.048;Yes;128.000;512.000;2600000000.0;44.000;44.000;72.000;72.000;600.000;72.000;200.000;3.000;72.000;4.000;4.000;6.000;300;400;200.000;500;2.849;4.096;1.000.000;150.000;100.000;64.000;30;50;1.000;200;2.000.000;128.000;4.000;2.048;64;6;1.000;16;2.500;2.500;1;2;;0;10/100/1000. RJ45/Micro USB console;100;6.000;2.000;100;12;1.000;1.000;4.000;3.000;300;Yes;Yes;8.000;375;256;10.000;2.000;4.000;512;5;6.000;1.024;2.048;88.000;64;32;2.000;2700000000.0;6.000;25.000;;12;0;0/8;0/8;0;0;;;1.000;10;2.048
PA-3260;4.094;4.094;72.000;10.000;15.000;30.000;1.500;7800000000.0;1;512;2.000;31;84.000;6.000;6.416;500;10;Yes;250.000;1.500;4;6;2.000;0;2.048;Yes;128.000;512.000;4400000000.0;44.000;44.000;72.000;72.000;600.000;72.000;200.000;3.000;72.000;4.000;4.000;6.000;500;400;300.000;500;2.849;4.096;1.000.000;150.000;100.000;64.000;30;50;1.000;200;2.200.000;128.000;4.000;2.048;64;6;1.000;16;2.500;2.500;1;2;;0;10/100/1000. RJ45/Micro USB console;100;6.000;2.000;100;12;1.000;1.000;4.000;3.000;300;Yes;Yes;12.000;375;256;10.000;2.000;4.000;512;5;6.000;1.024;2.048;88.000;64;32;2.000;4300000000.0;6.000;25.000;;12;0;0/8;0/8;0;;;4x40;1.000;10;2.048
PA-3410;4.094;4.094;12.000;1.000;15.000;30.000;750;11000000000.0;1;512;750;31;145.000;6.000;6.416;500;5;Yes;250.000;750;2;6;750;undefined;2.048;Yes;128.000;512.000;6800000000.0;10.000;10.000;12.000;12.000;600.000;12.000;150.000;3.000;12.000;2.000;1.800;3.000;125;200;140.000;500;2.849;3.600;1M;50.000;100.000;64.000;30;50;1.000;40;1.400.000;128.000;1.800;1.800;128;11;1.200;8;2.500;1.500;1;0;;0;10/100/1000. RJ45 console;100;3.000;1.000;100;12;750;500;2.000;1.200;750;Yes;Yes;10.240;150;256;10.000;1.500;3.000;512;5;5.000;1.024;500;20.000;64;64;1.000;5600000000.0;3.000;25.000;;undefined;12;0/10;0/10;4;;;undefined;400;11;2.048
PA-3420;4.094;4.094;12.000;1.000;15.000;30.000;750;16899999999.999998;1;512;750;31;205.000;6.000;6.416;500;5;Yes;250.000;750;2;6;750;undefined;2.048;Yes;128.000;512.000;9900000000.0;16.000;16.000;12.000;12.000;600.000;12.000;150.000;3.000;12.000;2.000;1.800;3.000;125;200;200.000;500;2.849;3.600;1M;50.000;100.000;64.000;30;50;1.000;40;2.000.000;128.000;1.800;1.800;128;11;1.200;8;2.500;1.500;1;0;;0;10/100/1000. RJ45 console;100;3.000;1.000;100;12;750;500;2.000;1.200;750;Yes;Yes;10.240;150;256;10.000;1.500;3.000;512;5;5.000;1.024;500;32.000;64;64;1.000;8700000000.0;3.000;25.000;;undefined;12;0/10;0/10;4;;;undefined;400;11;2.048
PA-3430;4.094;4.094;16.000;1.000;15.000;30.000;1.500;20500000000.0;1;512;1.500;31;240.000;6.000;6.416;500;10;Yes;200.000;1.500;4;6;1.500;undefined;2.048;Yes;128.000;512.000;12200000000.0;24.000;24.000;16.000;16.000;600.000;16.000;200.000;4.000;16.000;2.000;2.000;3.000;150;200;250.000;500;2.849;4.500;1M;50.000;100.000;64.000;30;50;1.000;100;2.500.000;128.000;2.000;2.000;128;11;1.500;8;2.500;2.500;1;0;;0;10/100/1000. RJ45 console;100;3.000;2.000;100;12;1.500;1.000;4.000;1.500;1.500;Yes;Yes;13.312;150;256;10.000;2.000;4.000;512;5;8.000;1.024;500;48.000;64;64;2.000;10500000000.0;3.000;25.000;;undefined;12;0/10;0/10;4;;2;;500;11;2.048
